model,dataset,accuracy,balanced_accuracy,n_trials,n_channels,n_samples,dataset_notes,error
fbcsp_lda_from_npz.joblib,S02,0.512500,0.512500,160,3,2000,subject epoch/label files,
fbcsp_lda_from_npz.joblib,S11,0.460000,0.460000,50,3,2000,subject epoch/label files,
fbcsp_lda_from_npz.joblib,S12_U,0.500000,0.500000,20,3,2000,subject epoch/label files,
fbcsp_lda_from_npz.joblib,S14_U,0.500000,0.500000,20,3,2000,subject epoch/label files,
fbcsp_lda_from_npz.joblib,S15,0.450000,0.450000,40,3,2000,subject epoch/label files,
fbcsp_lda_from_npz.joblib,S20,0.525000,0.525000,40,3,2000,subject epoch/label files,
fbcsp_lda_from_npz.joblib,S21,0.475000,0.475000,40,3,2000,subject epoch/label files,
fbcsp_lda_from_npz.joblib,raw_012_4s,0.825000,0.825000,160,3,2000,"raw NPZ channels 0,1,2, 4s",
fbcsp_lda_from_npz.joblib,raw_012_3s,0.843750,0.843750,160,3,1500,"raw NPZ channels 0,1,2, first 3s",
fbcsp_lda_from_npz.joblib,raw_034_3s,0.556250,0.556250,160,3,1500,"raw NPZ channels 0,3,4, first 3s",
fbcsp_lda_from_npz.joblib,S02_combined_npz,0.512500,0.512500,160,3,2000,S02 combined NPZ full 4s,
fbcsp_lda_from_npz_012_3s.joblib,S02,0.525000,0.525000,160,3,2000,subject epoch/label files,
fbcsp_lda_from_npz_012_3s.joblib,S11,0.520000,0.520000,50,3,2000,subject epoch/label files,
fbcsp_lda_from_npz_012_3s.joblib,S12_U,0.400000,0.400000,20,3,2000,subject epoch/label files,
fbcsp_lda_from_npz_012_3s.joblib,S14_U,0.500000,0.500000,20,3,2000,subject epoch/label files,
fbcsp_lda_from_npz_012_3s.joblib,S15,0.525000,0.525000,40,3,2000,subject epoch/label files,
fbcsp_lda_from_npz_012_3s.joblib,S20,0.500000,0.500000,40,3,2000,subject epoch/label files,
fbcsp_lda_from_npz_012_3s.joblib,S21,0.475000,0.475000,40,3,2000,subject epoch/label files,
fbcsp_lda_from_npz_012_3s.joblib,raw_012_4s,0.812500,0.812500,160,3,2000,"raw NPZ channels 0,1,2, 4s",
fbcsp_lda_from_npz_012_3s.joblib,raw_012_3s,0.837500,0.837500,160,3,1500,"raw NPZ channels 0,1,2, first 3s",
fbcsp_lda_from_npz_012_3s.joblib,raw_034_3s,0.656250,0.656250,160,3,1500,"raw NPZ channels 0,3,4, first 3s",
fbcsp_lda_from_npz_012_3s.joblib,S02_combined_npz,0.525000,0.525000,160,3,2000,S02 combined NPZ full 4s,
fbcsp_lda_from_npz_012_4s.joblib,S02,0.512500,0.512500,160,3,2000,subject epoch/label files,
fbcsp_lda_from_npz_012_4s.joblib,S11,0.460000,0.460000,50,3,2000,subject epoch/label files,
fbcsp_lda_from_npz_012_4s.joblib,S12_U,0.500000,0.500000,20,3,2000,subject epoch/label files,
fbcsp_lda_from_npz_012_4s.joblib,S14_U,0.500000,0.500000,20,3,2000,subject epoch/label files,
fbcsp_lda_from_npz_012_4s.joblib,S15,0.450000,0.450000,40,3,2000,subject epoch/label files,
fbcsp_lda_from_npz_012_4s.joblib,S20,0.525000,0.525000,40,3,2000,subject epoch/label files,
fbcsp_lda_from_npz_012_4s.joblib,S21,0.475000,0.475000,40,3,2000,subject epoch/label files,
fbcsp_lda_from_npz_012_4s.joblib,raw_012_4s,0.825000,0.825000,160,3,2000,"raw NPZ channels 0,1,2, 4s",
fbcsp_lda_from_npz_012_4s.joblib,raw_012_3s,0.843750,0.843750,160,3,1500,"raw NPZ channels 0,1,2, first 3s",
fbcsp_lda_from_npz_012_4s.joblib,raw_034_3s,0.556250,0.556250,160,3,1500,"raw NPZ channels 0,3,4, first 3s",
fbcsp_lda_from_npz_012_4s.joblib,S02_combined_npz,0.512500,0.512500,160,3,2000,S02 combined NPZ full 4s,
fbcsp_lda_from_npz_034_3s.joblib,S02,0.500000,0.500000,160,3,2000,subject epoch/label files,
fbcsp_lda_from_npz_034_3s.joblib,S11,0.500000,0.500000,50,3,2000,subject epoch/label files,
fbcsp_lda_from_npz_034_3s.joblib,S12_U,0.500000,0.500000,20,3,2000,subject epoch/label files,
fbcsp_lda_from_npz_034_3s.joblib,S14_U,0.500000,0.500000,20,3,2000,subject epoch/label files,
fbcsp_lda_from_npz_034_3s.joblib,S15,0.500000,0.500000,40,3,2000,subject epoch/label files,
fbcsp_lda_from_npz_034_3s.joblib,S20,0.500000,0.500000,40,3,2000,subject epoch/label files,
fbcsp_lda_from_npz_034_3s.joblib,S21,0.500000,0.500000,40,3,2000,subject epoch/label files,
fbcsp_lda_from_npz_034_3s.joblib,raw_012_4s,0.500000,0.500000,160,3,2000,"raw NPZ channels 0,1,2, 4s",
fbcsp_lda_from_npz_034_3s.joblib,raw_012_3s,0.500000,0.500000,160,3,1500,"raw NPZ channels 0,1,2, first 3s",
fbcsp_lda_from_npz_034_3s.joblib,raw_034_3s,0.943750,0.943750,160,3,1500,"raw NPZ channels 0,3,4, first 3s",
fbcsp_lda_from_npz_034_3s.joblib,S02_combined_npz,0.500000,0.500000,160,3,2000,S02 combined NPZ full 4s,
fbcsp_lda_S02.joblib,S02,0.700000,0.700000,160,3,2000,subject epoch/label files,
fbcsp_lda_S02.joblib,S11,0.460000,0.460000,50,3,2000,subject epoch/label files,
fbcsp_lda_S02.joblib,S12_U,0.250000,0.250000,20,3,2000,subject epoch/label files,
fbcsp_lda_S02.joblib,S14_U,0.450000,0.450000,20,3,2000,subject epoch/label files,
fbcsp_lda_S02.joblib,S15,0.650000,0.650000,40,3,2000,subject epoch/label files,
fbcsp_lda_S02.joblib,S20,0.500000,0.500000,40,3,2000,subject epoch/label files,
fbcsp_lda_S02.joblib,S21,0.450000,0.450000,40,3,2000,subject epoch/label files,
fbcsp_lda_S02.joblib,raw_012_4s,0.493750,0.493750,160,3,2000,"raw NPZ channels 0,1,2, 4s",
fbcsp_lda_S02.joblib,raw_012_3s,0.506250,0.506250,160,3,1500,"raw NPZ channels 0,1,2, first 3s",
fbcsp_lda_S02.joblib,raw_034_3s,0.443750,0.443750,160,3,1500,"raw NPZ channels 0,3,4, first 3s",
fbcsp_lda_S02.joblib,S02_combined_npz,0.700000,0.700000,160,3,2000,S02 combined NPZ full 4s,
fbcsp_lda_S03.joblib,S02,0.493750,0.493750,160,3,2000,subject epoch/label files,
fbcsp_lda_S03.joblib,S11,0.440000,0.440000,50,3,2000,subject epoch/label files,
fbcsp_lda_S03.joblib,S12_U,0.550000,0.550000,20,3,2000,subject epoch/label files,
fbcsp_lda_S03.joblib,S14_U,0.650000,0.650000,20,3,2000,subject epoch/label files,
fbcsp_lda_S03.joblib,S15,0.625000,0.625000,40,3,2000,subject epoch/label files,
